Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,02-05-2010,1643690.9,0,42,2.57,211.096,8.106
1,02-12-2010,1641957.44,1,39,2.55,211.242,8.106
1,02-19-2010,1611968.17,0,40,2.51,211.289,8.106
1,02-26-2010,1409727.59,0,47,2.56,211.32,8.106
1,03-05-2010,1554806.68,0,46,2.62,211.35,8.106
1,03-12-2010,1439541.59,0,58,2.67,211.381,8.106
1,03-19-2010,1472515.79,0,55,2.72,211.216,8.106
1,03-26-2010,1404429.92,0,51,2.73,211.018,8.106
1,04-02-2010,1594968.28,0,62,2.72,210.82,7.808
1,04-09-2010,1545418.53,0,66,2.77,210.623,7.808
1,04-16-2010,1466058.28,0,66,2.81,210.489,7.808
1,04-23-2010,1391256.12,0,65,2.8,210.439,7.808
1,04-30-2010,1425100.71,0,67,2.78,210.39,7.808
1,05-07-2010,1603955.12,0,73,2.84,210.34,7.808
1,05-14-2010,1494251.5,0,75,2.85,210.337,7.808
1,05-21-2010,1399662.07,0,76,2.83,210.617,7.808
1,05-28-2010,1432069.95,0,80,2.76,210.897,7.808
1,06-04-2010,1615524.71,0,81,2.7,211.176,7.808
1,06-11-2010,1542561.09,0,80,2.67,211.456,7.808
1,06-18-2010,1503284.06,0,84,2.64,211.454,7.808
1,06-25-2010,1422711.6,0,84,2.65,211.339,7.808
1,07-02-2010,1492418.14,0,81,2.67,211.224,7.787
1,07-09-2010,1546074.18,0,80,2.64,211.108,7.787
1,07-16-2010,1448938.92,0,83,2.62,211.1,7.787
1,07-23-2010,1385065.2,0,83,2.61,211.235,7.787
1,07-30-2010,1371986.6,0,82,2.64,211.37,7.787
1,08-06-2010,1605491.78,0,87,2.63,211.505,7.787
1,08-13-2010,1508237.76,0,87,2.69,211.639,7.787
1,08-20-2010,1513080.49,0,87,2.66,211.603,7.787
1,08-27-2010,1449142.92,0,85,2.62,211.567,7.787
1,09-03-2010,1540163.53,0,81,2.58,211.531,7.787
1,09-10-2010,1507460.69,1,79,2.56,211.495,7.787
1,09-17-2010,1430378.67,0,82,2.58,211.522,7.787
1,09-24-2010,1351791.03,0,81,2.62,211.597,7.787
1,10-01-2010,1453329.5,0,72,2.6,211.672,7.838
1,10-08-2010,1508239.93,0,64,2.63,211.747,7.838
1,10-15-2010,1459409.1,0,67,2.72,211.814,7.838
1,10-22-2010,1345454.0,0,70,2.72,211.861,7.838
1,10-29-2010,1384209.22,0,70,2.72,211.909,7.838
1,11-05-2010,1551659.28,0,59,2.69,211.956,7.838
1,11-12-2010,1494479.49,0,60,2.73,212.004,7.838
1,11-19-2010,1483784.18,0,51,2.77,211.89,7.838
1,11-26-2010,1955624.11,1,65,2.74,211.748,7.838
1,12-03-2010,1548033.78,0,49,2.71,211.607,7.838
1,12-10-2010,1682614.26,0,46,2.84,211.466,7.838
